
Place	Latitude	Longitude	Pop. Density (/km²)	Air Index (AQI)	Transport Access (1-10)	Green Space (m²/person)	Socio-Eco Status (1-10)	Industries Present (Y/N)	Land Use (%) Commercial
KR Puram	13.0162	77.6954	12,000	160	6	3.0	6	Y	55
BTM Layout	12.9166	77.6101	10,800	130	8	3.8	7	N	45
Jalahalli	13.0524	77.5295	8,300	100	6	7.0	6	Y	25
Yelahanka	13.1007	77.5960	7,900	95	7	8.5	6	N	20
Bommanahalli	12.8932	77.6101	11,400	145	6	2.5	5	Y	55
Hennur	13.0418	77.6407	9,800	120	7	4.2	7	N	40
Banaswadi	13.0197	77.6474	10,200	125	8	3.6	6	N	40
Sanjaynagar	13.0361	77.5773	9,500	110	6	5.0	7	N	30
RT Nagar	13.0223	77.6015	10,000	120	7	4.1	6	N	35
Vidyaranyapura	13.0880	77.5545	8,200	100	5	6.8	6	N	20
Peenya	13.0289	77.5151	12,500	170	5	2.0	5	Y	60
Mahadevapura	12.9916	77.6955	11,600	150	7	3.3	7	Y	55
Kengeri	12.9133	77.4801	8,800	105	6	6.0	6	N	25
Ullal	12.9389	77.5022	8,500	110	5	6.5	6	N	30
Basaveshwaranagar	12.9891	77.5391	9,400	115	7	4.8	7	N	35
Kalyan Nagar	13.0285	77.6396	10,100	125	8	4.0	7	N	40
Frazer Town	12.9982	77.6229	11,200	140	8	3.2	7	N	50
Nayandahalli	12.9425	77.5258	10,500	130	6	3.7	6	Y	45
Sarjapur Road	12.9122	77.6936	11,800	155	7	3.1	8	Y	60
Magadi Road	12.9787	77.5260	9,700	120	6	4.3	6	Y	40
Domlur	12.9555	77.6412	10,600	135	9	3.5	7	N	45
Malleshwaram	13.0068	77.5680	9,800	120	8	5.5	8	N	35
Thanisandra	13.0645	77.6315	10,100	130	7	3.5	6	N	40
Rajarajeshwari Nagar	12.9246	77.5085	8,900	110	6	5.8	7	N	25
Bilekahalli	12.9066	77.6101	11,500	140	7	2.7	6	Y	50
CV Raman Nagar	12.9875	77.6636	10,600	135	8	3.6	7	N	45
Hosa Road	12.8702	77.6486	11,000	145	6	3.0	6	Y	55
Hoodi	12.9944	77.7162	10,900	138	7	3.2	6	Y	50
Hebbal	13.0358	77.5896	9,800	120	8	4.5	7	N	35
Brookefield	12.9658	77.7125	10,300	130	8	4.2	8	N	40
Ulsoor	12.9843	77.6195	11,100	140	9	3.4	8	N	50
Banashankari	12.9220	77.5467	9,300	115	6	5.0	7	N	30
BEML Layout	12.9673	77.7015	9,700	120	6	4.8	7	N	35
Singasandra	12.8723	77.6471	10,900	140	6	2.9	6	Y	55
Bellandur Gate	12.9061	77.6785	11,600	150	7	2.5	7	Y	60
Yeshwanthpur	13.0183	77.5565	10,700	135	8	3.6	6	Y	50
Bommasandra	12.7889	77.7051	9,800	145	5	3.3	5	Y	60
Jayanagar	12.9250	77.5938	9,400	115	7	5.2	8	N	30
Arekere	12.8866	77.6036	10,200	125	6	3.8	7	N	40
Whitefield Road	12.9696	77.7486	11,500	150	7	3.0	7	Y	55
Nagarbhavi	12.9617	77.5135	9,200	110	6	5.6	6	N	25
Subramanyapura	12.8913	77.5465	9,000	115	5	6.0	6	N	25
